Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
05A,0200,05A,0000,000,0000,000,0000,0000,004,0100
05A,0200,05B,0200,05A,0200,000,005A,0000,004,0100
05B,4072,05C,4072,072,0200,000,005B,0200,000,0000
05C,6058,05D,6058,058,4070,000,005C,C190,008,1000
05D,E070,05E,E070,070,C190,000,005D,C190,008,1000,070,C190
05E,A073,05F,A073,073,6058,000,005E,6058,000,0000
05F,2070,060,2070,070,C190,000,005F,4010,000,0000
060,E070,061,E070,070,4010,000,0060,4010,000,0000,070,4010
061,0200,062,0200,061,0200,000,0061,0000,004,0100
062,606F,063,606F,06F,A073,000,0062,5F8D,000,0000
063,4070,064,4070,070,4010,000,0063,9F9D,00A,1010
064,E070,065,E070,070,9F9D,000,0064,9F9D,00A,1010,070,9F9D
065,0200,066,0200,065,0200,000,0065,0000,004,0100
066,3071,067,3071,071,E070,000,1F8F,E070,008,1000
067,3070,068,3070,070,9F9D,000,0002,FFFD,008,1000
068,E070,069,E070,070,FFFD,000,0068,FFFD,008,1000,070,FFFD
069,0200,06A,0200,069,0200,000,0069,0000,004,0100
06A,606E,06B,606E,06E,E070,000,006A,1F90,000,0000
06B,4070,06C,4070,070,FFFD,000,006B,1F8D,001,0001
06C,E059,06D,E059,059,1F8D,000,006C,1F8D,001,0001,059,1F8D
06D,0100,06E,0100,06D,0100,000,006D,1F8D,001,0001
