Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
13C,0200,13C,0000,000,0000,000,0000,0000,004,0100
13C,0200,13D,0200,13C,0200,000,013C,0000,004,0100
13D,1205,13E,1205,13D,1205,000,013D,0000,004,0100
13E,2F40,13F,2F40,13E,0040,000,0040,0000,004,0100
13F,F0FD,13D,F0FD,13F,F0FD,000,FFFD,0000,004,0100
13D,1205,13E,1205,13D,1205,000,013D,0000,004,0100
13E,2F40,13F,2F40,13E,0040,000,0040,0000,004,0100
13F,F0FD,13D,F0FD,13F,F0FD,000,FFFD,0000,004,0100
13D,1205,13E,1205,13D,1205,000,013D,0040,004,0100
13E,2F40,13F,2F40,13E,0040,000,0040,0040,000,0000
13F,F0FD,140,F0FD,13F,F0FD,000,013F,0040,000,0000
140,1204,141,1204,140,1204,000,0140,0005,000,0000
141,EEF8,142,EEF8,13A,0005,000,FFF8,0005,000,0000,13A,0005
142,EAF8,143,EAF8,61E,0005,000,FFF8,0005,000,0000,13B,061F
143,1205,144,1205,143,1205,000,0143,0000,000,0000
144,2F40,145,2F40,144,0040,000,0040,0000,004,0100
145,F0FD,143,F0FD,145,F0FD,000,FFFD,0000,004,0100
143,1205,144,1205,143,1205,000,0143,0040,004,0100
144,2F40,145,2F40,144,0040,000,0040,0040,000,0000
145,F0FD,146,F0FD,145,F0FD,000,0145,0040,000,0000
146,1204,147,1204,146,1204,000,0146,00FF,000,0000
147,0680,148,0680,147,0680,000,0147,FF00,008,1000
148,EEF0,149,EEF0,139,FF00,000,FFF0,FF00,008,1000,139,FF00
149,AEF0,14A,AEF0,13A,0005,000,FFF0,0005,000,0000
14A,0740,14B,0740,14A,0740,000,014A,0004,001,0001
14B,EEEE,14C,EEEE,13A,0004,000,FFEE,0004,001,0001,13A,0004
14C,F00B,14D,F00B,14C,F00B,000,014C,0004,001,0001
14D,1205,14E,1205,14D,1205,000,014D,0040,001,0001
14E,2F40,14F,2F40,14E,0040,000,0040,0040,001,0001
14F,F0FD,150,F0FD,14F,F0FD,000,014F,0040,001,0001
150,1204,151,1204,150,1204,000,0150,00CC,001,0001
151,4EE7,152,4EE7,139,FF00,000,FFE7,FFCC,008,1000
152,EAE8,153,EAE8,61F,FFCC,000,FFE8,FFCC,008,1000,13B,0620
153,AEE6,154,AEE6,13A,0004,000,FFE6,0004,000,0000
154,0740,155,0740,154,0740,000,0154,0003,001,0001
155,EEE4,156,EEE4,13A,0003,000,FFE4,0003,001,0001,13A,0003
156,F001,157,F001,156,F001,000,0156,0003,001,0001
157,CEEB,143,CEEB,157,0143,000,FFEB,0003,001,0001
143,1205,144,1205,143,1205,000,0143,0040,001,0001
144,2F40,145,2F40,144,0040,000,0040,0040,001,0001
145,F0FD,146,F0FD,145,F0FD,000,0145,0040,001,0001
146,1204,147,1204,146,1204,000,0146,00CC,001,0001
147,0680,148,0680,147,0680,000,0147,CC00,009,1001
148,EEF0,149,EEF0,139,CC00,000,FFF0,CC00,009,1001,139,CC00
149,AEF0,14A,AEF0,13A,0003,000,FFF0,0003,001,0001
14A,0740,14B,0740,14A,0740,000,014A,0002,001,0001
14B,EEEE,14C,EEEE,13A,0002,000,FFEE,0002,001,0001,13A,0002
14C,F00B,14D,F00B,14C,F00B,000,014C,0002,001,0001
14D,1205,14E,1205,14D,1205,000,014D,0040,001,0001
14E,2F40,14F,2F40,14E,0040,000,0040,0040,001,0001
14F,F0FD,150,F0FD,14F,F0FD,000,014F,0040,001,0001
150,1204,151,1204,150,1204,000,0150,0033,001,0001
151,4EE7,152,4EE7,139,CC00,000,FFE7,CC33,008,1000
152,EAE8,153,EAE8,620,CC33,000,FFE8,CC33,008,1000,13B,0621
153,AEE6,154,AEE6,13A,0002,000,FFE6,0002,000,0000
154,0740,155,0740,154,0740,000,0154,0001,001,0001
155,EEE4,156,EEE4,13A,0001,000,FFE4,0001,001,0001,13A,0001
156,F001,157,F001,156,F001,000,0156,0001,001,0001
157,CEEB,143,CEEB,157,0143,000,FFEB,0001,001,0001
143,1205,144,1205,143,1205,000,0143,0040,001,0001
144,2F40,145,2F40,144,0040,000,0040,0040,001,0001
145,F0FD,146,F0FD,145,F0FD,000,0145,0040,001,0001
146,1204,147,1204,146,1204,000,0146,00C3,001,0001
147,0680,148,0680,147,0680,000,0147,C300,009,1001
148,EEF0,149,EEF0,139,C300,000,FFF0,C300,009,1001,139,C300
149,AEF0,14A,AEF0,13A,0001,000,FFF0,0001,001,0001
14A,0740,14B,0740,14A,0740,000,014A,0000,005,0101
14B,EEEE,14C,EEEE,13A,0000,000,FFEE,0000,005,0101,13A,0000
14C,F00B,158,F00B,14C,F00B,000,000B,0000,005,0101
158,AEE0,159,AEE0,139,C300,000,FFE0,C300,009,1001
159,E8E1,15A,E8E1,621,C300,000,FFE1,C300,009,1001,621,C300
15A,0100,15B,0100,15A,0100,000,015A,C300,009,1001
